Code,Area,Sales-1995,Sales-1996,Sales-1997,Sales-1998,Sales-1999,Sales-2000,Sales-2001,Sales-2002,Sales-2003,Sales-2004,Sales-2005,Sales-2006,Sales-2007,Sales-2008,Sales-2009,Sales-2010,Sales-2011,Sales-2012,Sales-2013,Sales-2014
E09000001,City of London,155,275,319,428,536,431,365,391,474,375,304,295,268,141,157,236,256,195,429,267
E09000002,Barking and Dagenham,660,883,1451,1921,2261,2595,3092,3423,3510,3516,2892,3666,3994,1696,1257,1447,1458,1316,1746,2028
E09000003,Barnet,4047,5367,6282,6073,7420,6560,6860,7350,6144,6557,5439,6789,6909,3469,3185,4158,3892,3973,4738,4794
E09000004,Bexley,2415,2934,3734,3618,4561,4188,5177,5703,5127,4934,4056,5002,5013,2499,2173,2459,2540,2815,3349,3827
E09000005,Brent,2632,3035,3731,4067,4553,4426,4765,4849,4202,4021,3305,3963,4318,2084,1568,2391,2188,2021,2442,2795
E09000006,Bromley,3976,5408,6306,5645,6900,6501,7534,8090,6811,7375,6365,8432,8026,3771,3914,4371,4323,4764,5454,5963
E09000007,Camden,2542,3403,3891,3551,4026,3522,3654,3913,3151,3709,3356,4171,3667,2074,2186,2741,2630,2365,2936,2665
E09000008,Croydon,3456,4692,5716,6180,7241,5940,6872,8530,7441,7407,6289,8095,8216,3868,3358,3600,3481,3559,4811,5748
E09000009,Ealing,3377,4411,5323,5229,6170,5283,6078,6242,5667,5842,4909,6519,6200,2755,2371,3176,2998,3189,3815,3291
E09000010,Enfield,3541,4304,5156,5397,6056,5501,6984,7208,6191,6052,5074,6336,6435,3100,2540,2875,2709,2752,3367,3647
E09000011,Greenwich,1776,2122,2567,2933,3976,3685,4686,5363,4836,5442,4706,5262,5186,2416,1953,2225,2562,2730,3468,4358
E09000012,Hackney,1167,1468,2294,2583,2962,2708,3291,3635,2750,3275,2570,3435,3601,1714,1860,2202,2211,2533,2701,2771
E09000013,Hammersmith and Fulham,2727,3706,3988,3433,4214,3563,3620,4006,3317,3633,3180,4115,3800,1638,1916,2467,2690,2558,2993,2745
E09000014,Haringey,2514,3053,3820,3743,4495,4056,4482,4571,3796,4276,3497,4646,4313,2006,1844,2327,2257,2398,2655,2798
E09000015,Harrow,2450,3152,3591,3664,4389,3922,4309,4499,4165,3924,3296,4320,4010,2185,1930,2247,2134,2221,2544,2661
E09000016,Havering,2497,3073,3567,3353,4102,3647,4597,4878,4417,4726,3965,5087,5404,2626,2400,2714,2579,2771,3547,4086
E09000017,Hillingdon,2840,3890,4325,4454,5720,5019,4673,5726,5418,5348,4479,5452,5454,3067,2568,3069,3301,3199,3332,3596
E09000018,Hounslow,2934,3257,4027,3288,4180,4034,4463,4867,4455,4473,3631,4773,4802,2323,1818,2446,2278,2317,2837,3142
E09000019,Islington,1572,2208,2954,3094,3723,2939,3282,3355,2791,2940,3042,4000,3735,2302,2366,2804,2556,2784,2999,2724
E09000020,Kensington and Chelsea,3310,4234,4660,4084,5071,4355,4006,4458,3431,3946,3369,4234,3707,1707,2021,2422,2463,2191,2648,2603
E09000021,Kingston upon Thames,2655,3174,3891,3478,4055,3544,3935,4274,3503,3847,3216,4237,3911,1698,1877,2333,2235,2301,2747,2949
E09000022,Lambeth,2521,3722,4919,5177,5777,5834,5896,6328,5399,5871,5238,6668,6339,2978,2364,3500,3586,3875,4908,4726
E09000023,Lewisham,1967,2592,3667,3930,5073,5270,5528,6132,5469,5799,4788,5992,6063,2593,2101,2792,2849,3283,4197,4345
E09000024,Merton,2649,3405,3951,4021,4958,4097,4657,4878,4027,4448,3795,4803,4505,2246,2214,2532,2595,2722,3220,3016
E09000025,Newham,1173,1605,2382,2930,3597,4628,5375,5475,5288,4510,3923,4468,4385,2692,1414,1681,1596,1683,2330,2822
E09000026,Redbridge,3081,3735,4215,4172,5142,4764,5672,6251,5589,5673,4902,5810,5436,3009,2540,2948,2526,2464,2946,3529
E09000027,Richmond upon Thames,3300,4738,5152,4774,5906,4010,4699,5240,4497,4853,4282,5371,4654,2397,2582,3182,3115,3212,3605,3342
E09000028,Southwark,1937,2305,3569,3945,4916,4914,5198,5076,4515,5152,4504,5586,5227,2510,2319,3314,3177,3310,4246,3797
E09000029,Sutton,2587,3259,3774,4083,4829,4339,4840,5019,4395,4565,3830,4808,4716,2390,2399,2360,2436,2528,2998,3325
