"Code","Name","Year","Tenure","Number_of_population","Number_Confidence_Intervals","Percent_of_population_in_borough","Percent_Confidence_Intervals"
"E09000001","City of London",2018,"Own.Outright","-","-","-","-"
"E09000002","Barking and Dagenham",2018,"Own.Outright","35300","5600","16.4","2.6"
"E09000003","Barnet",2018,"Own.Outright","98300","11900","25.1","3"
"E09000004","Bexley",2018,"Own.Outright","70900","7800","28.5","3.1"
"E09000005","Brent",2018,"Own.Outright","56900","8500","17.3","2.6"
"E09000006","Bromley",2018,"Own.Outright","79600","10200","24","3.1"
"E09000007","Camden",2018,"Own.Outright","53000","8000","20.7","3.1"
"E09000008","Croydon",2018,"Own.Outright","69600","10400","18.2","2.7"
"E09000009","Ealing",2018,"Own.Outright","87300","12900","25.4","3.8"
"E09000010","Enfield",2018,"Own.Outright","84200","10600","25","3.2"
"E09000011","Greenwich",2018,"Own.Outright","53700","8300","18.9","2.9"
"E09000012","Hackney",2018,"Own.Outright","35600","6600","12.7","2.4"
"E09000013","Hammersmith and Fulham",2018,"Own.Outright","28500","5100","15.8","2.8"
"E09000014","Haringey",2018,"Own.Outright","56300","7500","20.3","2.7"
"E09000015","Harrow",2018,"Own.Outright","62600","7200","25.2","2.9"
"E09000016","Havering",2018,"Own.Outright","72900","8100","28.3","3.1"
"E09000017","Hillingdon",2018,"Own.Outright","55400","8000","18.1","2.6"
"E09000018","Hounslow",2018,"Own.Outright","53600","9800","19.8","3.6"
"E09000019","Islington",2018,"Own.Outright","46300","7400","19.5","3.1"
"E09000020","Kensington and Chelsea",2018,"Own.Outright","36100","4800","23.5","3.1"
"E09000021","Kingston upon Thames",2018,"Own.Outright","44600","5600","25.2","3.2"
"E09000022","Lambeth",2018,"Own.Outright","40300","8500","12.4","2.6"
"E09000023","Lewisham",2018,"Own.Outright","35100","7000","11.5","2.3"
"E09000024","Merton",2018,"Own.Outright","49800","6900","24","3.3"
"E09000025","Newham",2018,"Own.Outright","68200","10800","19.3","3"
"E09000026","Redbridge",2018,"Own.Outright","69500","8300","22.6","2.7"
"E09000027","Richmond upon Thames",2018,"Own.Outright","57500","6900","29.3","3.5"
"E09000028","Southwark",2018,"Own.Outright","41800","7800","13.3","2.5"
"E09000029","Sutton",2018,"Own.Outright","55100","6500","27","3.2"
"E09000030","Tower Hamlets",2018,"Own.Outright","40500","8800","12.9","2.8"
"E09000031","Waltham Forest",2018,"Own.Outright","55300","8400","20.1","3.1"
"E09000032","Wandsworth",2018,"Own.Outright","53800","9200","16.8","2.9"
"E09000033","Westminster",2018,"Own.Outright","52600","7900","21.8","3.3"
"E13000001","Inner London",2018,"Own.Outright","588300","27700","16.5","0.8"
"E13000002","Outer London",2018,"Own.Outright","1212200","37000","22.8","0.7"
"E12000001","North East",2018,"Own.Outright","739300","16900","28.3","0.6"
"E12000002","North West",2018,"Own.Outright","1739200","31300","30.1","0.5"
"E12000003","Yorkshire and The Humber",2018,"Own.Outright","1623300","32600","30","0.6"
"E12000004","East Midlands",2018,"Own.Outright","1417800","36500","30","0.8"
"E12000005","West Midlands",2018,"Own.Outright","1753100","34700","30.2","0.6"
"E12000006","East of England",2018,"Own.Outright","1834300","40700","29.9","0.7"
"E12000007","London",2018,"Own.Outright","1803700","46500","20.3","0.5"
"E12000008","South East",2018,"Own.Outright","2661700","45900","29.6","0.5"
"E12000009","South West",2018,"Own.Outright","1779600","33000","32.4","0.6"
"W92000004","Wales",2018,"Own.Outright","1033700","16100","33.3","0.5"
"S92000003","Scotland",2018,"Own.Outright","1650300","25500","30.8","0.5"
"N92000002","Northern Ireland",2018,"Own.Outright","588600","19100","31.7","1"
"K02000001","UK",2018,"Own.Outright","18624700","108800","29","0.2"
"E09000001","City of London",2017,"Own.Outright","-","-","-","-"
"E09000002","Barking and Dagenham",2017,"Own.Outright","29800","4800","14.2","2.3"
"E09000003","Barnet",2017,"Own.Outright","96300","11200","25.1","2.9"
"E09000004","Bexley",2017,"Own.Outright","73600","7400","30","3"
"E09000005","Brent",2017,"Own.Outright","49500","7200","15.1","2.2"
"E09000006","Bromley",2017,"Own.Outright","84300","9700","25.8","3"
"E09000007","Camden",2017,"Own.Outright","49700","7200","19.8","2.9"
"E09000008","Croydon",2017,"Own.Outright","62300","9200","16.3","2.4"
"E09000009","Ealing",2017,"Own.Outright","90200","11500","26.6","3.4"
"E09000010","Enfield",2017,"Own.Outright","78400","9900","23.7","3"
"E09000011","Greenwich",2017,"Own.Outright","40000","7000","14.3","2.5"
"E09000012","Hackney",2017,"Own.Outright","35300","6600","12.9","2.4"
"E09000013","Hammersmith and Fulham",2017,"Own.Outright","36400","5600","20.1","3.1"
"E09000014","Haringey",2017,"Own.Outright","45700","6400","17","2.4"
"E09000015","Harrow",2017,"Own.Outright","61200","7400","24.8","3"
"E09000016","Havering",2017,"Own.Outright","81200","8200","31.9","3.2"
